卫视,#genre#

泉州一套,rtmp://live.qztv.cn/live/news
泉州四套,rtmp://live.qztv.cn/live/mny
三明公共,http://stream.smntv.cn/smtv2/playlist.m3u8
三明新闻,http://stream.smntv.cn/smtv1/playlist.m3u8
福建云霄,http://live.zzyxxw.com:85/live/xwzh.m3u8
福州生活,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8

福建电信,#genre#
福建综合,http://110.87.12.51:5550/rtp/239.61.3.4:9542
东南卫视,http://110.87.12.51:5550/rtp/239.61.2.132:8708
福建公共频道,http://110.87.12.51:5550/rtp/239.61.2.3:8012
福建新闻,http://110.87.12.51:5550/rtp/239.61.2.4:8018
福建电视剧,http://110.87.12.51:5550/rtp/239.61.2.5:8024
福建旅游,http://110.87.12.51:5550/rtp/239.61.2.6:8030
福建经济生活,http://110.87.12.51:5550/rtp/239.61.2.7:8036
福建体育,http://110.87.12.51:5550/rtp/239.61.2.160:8948
福建少儿,http://110.87.12.51:5550/rtp/239.61.2.9:8048
海峡卫视,http://110.87.12.51:5550/rtp/239.61.2.151:8894
福建教育频道,http://110.87.12.51:5550/rtp/239.61.2.173:9026
厦门卫视,http://110.87.12.51:5550/rtp/239.61.2.11:8060
厦门1套,http://110.87.12.51:5550/rtp/239.61.3.55:9848
厦门2套,http://110.87.12.51:5550/rtp/239.61.3.56:9854
CCTV-1,http://110.87.12.51:5550/rtp/239.61.3.61:9884
CCTV-2,http://110.87.12.51:5550/rtp/239.61.2.174:9032
CCTV-3,http://110.87.12.51:5550/rtp/239.61.3.34:9722
CCTV-4,http://110.87.12.51:5550/rtp/239.61.2.206:9224
CCTV-5,http://110.87.12.51:5550/rtp/239.61.3.35:9728
CCTV-5+,http://110.87.12.51:5550/rtp/239.61.2.171:9014
CCTV-6,http://110.87.12.51:5550/rtp/239.61.3.36:9734
CCTV-7,http://110.87.12.51:5550/rtp/239.61.2.175:9038
CCTV-8,http://110.87.12.51:5550/rtp/239.61.3.37:9740
CCTV-9,http://110.87.12.51:5550/rtp/239.61.2.172:9020
CCTV-10,http://110.87.12.51:5550/rtp/239.61.2.176:9044
CCTV-11,http://110.87.12.51:5550/rtp/239.61.2.21:8120
CCTV-12,http://110.87.12.51:5550/rtp/239.61.2.177:9050
CCTV-13,http://110.87.12.51:5550/rtp/239.61.2.23:8132
CCTV-14,http://110.87.12.51:5550/rtp/239.61.2.178:9056
CCTV-15,http://110.87.12.51:5550/rtp/239.61.2.25:8144
CGTN,http://110.87.12.51:5550/rtp/239.61.2.19:8108
CCTV-17,http://110.87.12.51:5550/rtp/239.61.3.9:9572
快乐购物,http://110.87.12.51:5550/rtp/239.61.2.169:9002
央广购物,http://110.87.12.51:5550/rtp/239.61.2.220:9308
东方卫视,http://110.87.12.51:5550/rtp/239.61.2.28:8162
湖南卫视,http://110.87.12.51:5550/rtp/239.61.2.31:8180
江苏卫视,http://110.87.12.51:5550/rtp/239.61.2.30:8174
浙江卫视,http://110.87.12.51:5550/rtp/239.61.2.29:8168
河北卫视,http://110.87.12.51:5550/rtp/239.61.2.57:8336
广东卫视,http://110.87.12.51:5550/rtp/239.61.2.33:8192
山东卫视,http://110.87.12.51:5550/rtp/239.61.2.119:8708
湖北卫视,http://110.87.12.51:5550/rtp/239.61.2.120:8714
深圳卫视,http://110.87.12.51:5550/rtp/239.61.3.46:9794
黑龙江卫视,http://110.87.12.51:5550/rtp/239.61.2.34:8198
贵州卫视,http://110.87.12.51:5550/rtp/239.61.2.159:8942
安徽卫视,http://110.87.12.51:5550/rtp/239.61.2.248:9476
天津卫视,http://110.87.12.51:5550/rtp/239.61.2.180:9068
四川卫视,http://110.87.12.51:5550/rtp/239.61.2.251:9494
江西卫视,http://110.87.12.51:5550/rtp/239.61.2.182:9080
辽宁卫视,http://110.87.12.51:5550/rtp/239.61.2.181:9074
重庆卫视,http://110.87.12.51:5550/rtp/239.61.2.250:9488
北京卫视,http://110.87.12.51:5550/rtp/239.61.2.32:8186
云南卫视,http://110.87.12.51:5550/rtp/239.61.2.61:8360
河南卫视,http://110.87.12.51:5550/rtp/239.61.2.59:8348
海南卫视,http://110.87.12.51:5550/rtp/239.61.2.42:8246
广西卫视,http://110.87.12.51:5550/rtp/239.61.2.48:8282
陕西卫视,http://110.87.12.51:5550/rtp/239.61.2.38:8222
青海卫视,http://110.87.12.51:5550/rtp/239.61.2.60:8354
宁夏卫视,http://110.87.12.51:5550/rtp/239.61.2.56:8330
中国教育-1,http://110.87.12.51:5550/rtp/239.61.2.167:8990
纪实人文,http://110.87.12.51:5550/rtp/239.61.2.165:8978
中国教育-2,http://110.87.12.51:5550/rtp/239.61.3.6:9554
中国气像,http://110.87.12.51:5550/rtp/239.61.2.64:8378
金鹰卡通,http://110.87.12.51:5550/rtp/239.61.2.221:9314
卡酷少儿,http://110.87.12.51:5550/rtp/239.61.2.222:9320
吉林卫视,http://110.87.12.51:5550/rtp/239.61.2.223:9326
山西卫视,http://110.87.12.51:5550/rtp/239.61.2.224:9332
甘肃卫视,http://110.87.12.51:5550/rtp/239.61.2.225:9338
内蒙古卫视,http://110.87.12.51:5550/rtp/239.61.2.226:9344
新疆卫视,http://110.87.12.51:5550/rtp/239.61.2.227:9350
兵团卫视,http://110.87.12.51:5550/rtp/239.61.2.228:9356
